x0000,y0000
866.790702,2977.478229,
873.4738548,2876.582391,
880.1541167,2966.968246,
886.8314985,2653.770748,
893.5060112,3124.617994,
900.1776658,2686.351696,
906.8464733,2672.688718,
913.5124445,3324.307674,
920.1755904,2759.921578,
926.8359221,3162.453933,
933.4934503,2706.320664,
940.1481862,3046.844118,
946.8001407,2906.010344,
953.4493246,2719.983642,
960.0957491,3071.01708,
966.7394249,3105.700024,
973.3803632,2653.770748,
980.0185748,2605.424826,
986.6540707,2749.411595,
993.2868618,2972.223238,
999.9169591,2609.628819,
1006.544374,2958.56026,
1013.169116,2919.673322,
1019.791198,3030.028145,
1026.41063,2785.145538,
1033.027422,3068.915083,
1039.641587,2958.56026,
1046.253134,3044.742122,
1052.862076,2849.256435,
1059.468422,2798.808516,
1066.072184,2640.10777,
1072.673373,3305.389704,
1079.271999,2890.245369,
1085.868074,2521.34496,
1092.461608,3180.320904,
1099.052614,2388.919172,
1105.6411,3170.86192,
1112.227079,3044.742122,
1118.810562,2568.639885,
1125.391558,3347.429637,
1131.970081,2735.748617,
1138.546139,3097.292038,
1145.119745,2657.974741,
1151.690908,2649.566755,
1158.259641,3172.963916,
1164.825954,2323.757277,
1171.389858,3038.436132,
1177.951365,3037.385134,
1184.510484,2736.799615,
1191.067227,2895.500361,
1197.621605,2799.859514,
1204.173628,2668.484725,
1210.723309,2975.376233,
1217.270657,2630.648785,
1223.815684,3066.813086,
1230.3584,2796.706519,
1236.898818,2979.580226,
1243.436946,2459.33606,
1249.972798,3030.028145,
1256.506382,2561.282896,
1263.037711,3181.371903,
1269.566796,2495.070002,
1276.093647,3076.272071,
1282.618275,2904.959346,
1289.140692,2581.251864,
1295.660907,2953.305268,
1302.178933,2682.147703,
1308.69478,3052.09911,
1315.208459,3354.786625,
1321.719981,15325.65745,
1328.229357,3082.578061,
1334.736598,3032.130142,
1341.241715,2879.735386,
1347.744719,2904.959346,
1354.24562,2837.695453,
1360.74443,2680.045706,
1367.24116,3039.48713,
1373.735821,2799.859514,
1380.228423,2983.784219,
1386.718978,2712.626654,
1393.207497,2912.316334,
1399.69399,2652.71975,
1406.178468,2829.287467,
1412.660943,2771.48256,
1419.141425,2367.899206,
1425.619926,2909.163339,
1432.096456,3270.70676,
1438.571026,2632.750782,
1445.043647,2767.278566,
1451.51433,2477.203031,
1457.983087,3179.269906,
1464.449927,2777.788549,
1470.914863,2601.220832,
1477.377904,2634.852778,
1483.839063,2966.968246,
1490.298349,2880.786384,
1496.755774,2784.094539,
1503.211349,2884.990378,
1509.665085,2974.325235,
1516.116992,2728.391629,
1522.567082,2894.449363,
1529.015366,2726.289632,
1535.461854,3066.813086,
1541.906558,2670.586721,
1548.349488,2512.936974,
1554.790655,3047.895117,
1561.230071,2790.400529,
1567.667747,3066.813086,
1574.103692,2650.617753,
1580.537919,2628.546789,
1586.970439,3123.566995,
1593.401261,2713.677652,
1599.830397,2551.823911,
1606.257859,2650.617753,
1612.683656,2874.480395,
1619.107801,2531.854943,
1625.530303,3184.524898,
1631.951175,2570.741881,
1638.370426,2705.269666,
1644.788068,3382.112581,
1651.204112,2694.759682,
1657.618568,2587.557854,
1664.031449,3311.695694,
1670.442764,2429.908107,
1676.852524,3151.94395,
1683.260741,2549.721915,
1689.667426,2600.169834,
1696.072589,3129.872985,
1702.476241,2867.123406,
1708.878394,3075.221073,
1715.279058,2769.380563,
1721.678244,2675.841713,
1728.075964,3027.926149,
1734.472228,2497.171999,
1740.867046,2959.611258,
1747.260432,2527.65095,
1753.652394,3186.626894,
1760.042944,2470.897041,
1766.432093,2973.274236,
1772.819852,3025.824152,
1779.206232,2348.981236,
1785.591243,2991.141208,
1791.974898,2651.668752,
1798.357206,3401.030551,
1804.738179,2618.036805,
1811.117828,2600.169834,
1817.496163,2951.203272,
1823.873196,2676.892711,
1830.248937,2884.990378,
1836.623398,2414.143132,
1842.99659,3229.717825,
1849.368522,2307.992302,
1855.739207,2965.917248,
1862.108656,2863.970411,
1868.476878,2904.959346,
1874.843886,2687.402694,
1881.20969,2837.695453,
1887.574301,3076.272071,
1893.93773,2500.324994,
1900.299988,2913.367332,
1906.661087,2647.464758,
1913.021036,2730.493625,
1919.379847,2430.959105,
1925.737531,3061.558095,
1932.094099,2872.378398,
1938.449561,2932.285302,
1944.803929,2755.717585,
1951.157214,2504.528987,
1957.509427,2951.203272,
1963.860578,2736.799615,
1970.210679,2754.666586,
1976.55974,2965.917248,
1982.907773,2624.342795,
1989.254788,2880.786384,
1995.600796,2708.422661,
2001.945809,2630.648785,
2008.289837,2703.167669,
2014.632892,2916.520327,
2020.974983,2964.86625,
2027.316123,2414.143132,
2033.656322,3261.247775,
2039.995591,2527.65095,
2046.33394,3185.575896,
2052.671382,2327.96127,
2059.007927,2933.3363,
2065.343586,2927.03031,
2071.678369,2786.196536,
2078.012289,2655.872745,
2084.345355,2969.070243,
2090.677578,2702.116671,
2097.008971,2638.005773,
2103.339543,3087.833053,
2109.669306,2797.757517,
2115.99827,2659.02574,
2122.326446,2681.096704,
2128.653846,2825.083474,
2134.980481,2796.706519,
2141.306361,2916.520327,
2147.631497,2909.163339,
2153.9559,2763.074573,
2160.279582,2645.362762,
2166.602553,2833.49146,
2172.924824,2478.254029,
2179.246406,3034.232139,
2185.56731,2574.945874,
2191.887547,2954.356267,
2198.207128,2518.191965,
2204.526064,2659.02574,
2210.844366,2724.187635,
2217.162044,2429.908107,
2223.479111,3192.932884,
2229.795576,2799.859514,
2236.111451,2721.03464,
2242.426746,2924.928314,
2248.741473,2973.274236,
2255.055643,2635.903777,
2261.369266,2901.806351,
2267.682354,2574.945874,
2273.994917,2884.990378,
2280.306966,2939.64229,
2286.618513,2601.220832,
2292.929568,3085.731056,
2299.240142,2571.792879,
2305.550246,2932.285302,
2311.859892,2844.001443,
2318.16909,2628.546789,
2324.477851,2783.043541,
2330.786185,2964.86625,
2337.094105,2650.617753,
2343.401621,2804.063507,
2349.708744,2870.276401,
2356.015484,2569.690883,
2362.321853,2973.274236,
2368.627862,2871.3274,
2374.933522,2866.072408,
2381.238843,2786.196536,
2387.543838,2567.588886,
2393.848515,3041.589127,
2400.152887,11376.00577,
2406.456965,2734.697618,
2412.760759,2865.02141,
2419.06428,2906.010344,
2425.36754,2639.056772,
2431.670549,2477.203031,
2437.973319,3303.287707,
2444.275859,2635.903777,
2450.578182,2607.526822,
2456.880298,2721.03464,
2463.182218,3047.895117,
2469.483953,2449.877075,
2475.785514,2961.713255,
2482.086913,2809.318499,
2488.388159,2971.17224,
2494.689263,2361.593216,
2500.990238,3199.238874,
2507.291093,3237.074814,
